"x","y"
2949,8055
3440,7819
3121,7803
2651,8704
2786,8706
3123,7722
3368,7714
3446,7977
2839,8508
2800,8111
3143,8110
2905,7679
2869,8073
2608,7519
3307,7933
3339,7521
2591,7540
4017,8473
3468,7896
2938,8140
3836,8698
3233,8555
3023,8057
3772,8084
3539,8185
3532,8219
3125,9051
3370,8971
2755,7658
3040,7801
2512,8347
3779,8768
3366,9026
3574,7586
3168,7741
3018,8380
4096,7906
4213,8320
3064,8532
4049,7664
3574,7568
3781,8471
4011,7628
2717,7680
3137,7627
3198,7801
3522,7828
3138,7614
3178,8319
3168,9046
3861,8683
3491,7621
3426,7928
4139,8562
2573,8628
3478,8520
4252,8170
4232,7797
3082,7900
2637,8912
3540,7537
2692,7685
2854,8266
3416,8958
2957,8268
3826,8670
4262,8239
2632,7567
3075,8697
3327,7816
3900,8706
2726,7913
3947,8724
4212,8108
3600,9051
2581,7508
2815,8123
4191,7798
2800,9005
4156,8329
2575,8554
4151,7739
3891,8765
3392,8441
3443,7999
3017,8391
4028,7623
4813,7539
3104,8869
3843,8508
3208,7747
4173,8228
2926,7767
3177,8188
4180,8310
4115,8441
3144,7622
3576,8915
3169,8960
2680,7735
3534,9044
3994,8557
3052,7812
3835,7660
3104,7515
3189,9045
3290,7931
4103,8432
4132,8353
2566,8852
3039,7686
3003,8298
2681,7915
2821,8649
2784,7710
3892,7585
2672,7562
3129,8961
4283,8185
4069,7629
3306,8658
3845,7602
3017,9052
4078,8472
3937,8012
3111,8043
2751,7684
2509,8879
2763,8388
3048,9064
4150,8315
3148,7745
3388,7790
3958,8745
4151,8414
4126,7843
3414,7805
3424,7812
2751,8381
3114,7505
2521,8268
3990,8072
2606,8998
2680,7681
3880,7572
3058,7801
3660,7858
3573,8054
3912,7628
2785,7681
4075,7566
2546,7505
4221,7761
2693,8896
3141,8951
3126,7603
3542,7509
4255,8217
4016,7675
2673,7936
3633,8286
2822,7880
3115,8989
3593,8096
2704,8084
3084,7766
2744,8505
3402,8121
4120,7601
3099,9004
4270,8203
3864,8453
4154,8347
2704,8354
3552,7810
2910,7656
4172,8251
3266,7970
3512,7885
4985,7547
3634,7718
2779,7661
3564,8735
4171,7512
2934,8054
3987,8059
4198,8041
3057,8094
2676,7700
3946,8742
4065,8594
2718,7775
3899,8728
3385,8941
2723,7644
3735,9050
4146,7815
3839,7523
3437,7920
3440,7988
3466,7933
4255,8348
3982,8112
3034,7785
3271,7705
2587,7571
4292,8366
3443,7946
3125,7737
3670,9060
3524,8842
2885,8067
4201,7757
3848,8128
2592,8659
3529,8743
3580,8561
2634,8008
4122,8463
4143,8263
3348,7630
3399,8075
4243,8287
3082,8808
3552,7501
4112,8541
3904,8741
3839,7578
3600,8552
4769,8558
3069,8089
4114,8560
3748,8803
4266,8281
3644,8455
3845,8801
3822,8649
2991,8749
3819,7674
3613,8995
4333,7506
3542,8309
3883,8480
2913,8762
2765,7752
3297,8734
3167,7756
3373,8349
3052,8594
4102,8403
3132,9014
3074,7916
2533,8461
3127,8531
4022,8564
3442,7634
2983,7962
3545,8782
3108,8529
2713,8490
2532,8420
3804,8312
3355,8955
3442,8302
3068,7883
4145,7973
2771,8261
2662,8353
3063,8581
3281,8628
3526,7640
3019,8773
3666,8123
2774,8417
2844,7824
3432,8495
3553,8334
3648,8065
3459,7629
3937,8089
3279,7765
2774,8216
4120,7962
2858,7815
3128,8071
3055,8114
3847,7591
3555,8028
4017,7647
2871,7509
3442,8495
3192,8143
2546,8434
2963,8087
2607,8952
3309,7693
3863,7653
3047,8324
2606,8516
3673,7865
3763,8172
3795,7872
2776,8434
3524,8768
3371,8050
2913,8939
3672,8302
3345,9066
3333,7674
3646,8975
2624,8683
3801,8217
3001,7686
3350,8377
4096,7570
3616,8476
3792,7665
3395,7773
2935,7679
3880,8121
2987,7973
3154,8093
3096,7585
3005,8780
3061,8560
2981,8350
2642,8483
2631,8519
3871,7921
2980,8069
2814,8625
2962,8259
3757,8137
2541,8472
3865,7908
3858,8708
2990,7776
3213,7999
3781,8185
3405,7793
3292,8670
3612,8523
3846,7551
3062,8681
3132,7548
3621,7735
3262,8585
3256,7938
3663,8026
2961,8967
3122,7853
3119,8032
3586,7679
2580,8563
2506,8913
3040,7514
2995,8361
3573,8252
3934,7959
3555,8552
3492,7900
3479,7631
3785,7882
2797,8576
3365,7596
3311,8008
2973,8332
2561,8838
3496,7631
3393,8099
3604,8409
3024,7681
3925,7949
3091,8705
4119,7571
2592,8532
3184,8304
3378,8422
3586,7877
2816,8497
3115,8518
3775,8520
2853,7546
3987,8508
3159,8517
3902,7614
3180,8157
2717,8177
3141,8163
3181,8767
3250,7998
3061,7954
2637,8502
3546,8749
3369,8224
3077,8541
3916,7940
2523,8372
3214,7936
3587,8358
4050,8499
3530,8020
2591,8549
3895,8717
3642,8051
3192,8241
3703,8293
2601,8660
3167,9068
3736,8126
3363,7612
3402,8305
2595,7512
3107,9051
4166,8399
2580,9019
2975,8050
3027,7964
4115,8388
3620,7721
4109,7947
4197,7772
2523,8495
3393,7682
4127,8374
3406,8449
2763,8118
3790,8078
3718,7865
3716,8303
3624,7861
3598,8280
3042,8616
2562,8786
3576,8529
3863,7612
3749,7865
3625,8462
2868,8820
3809,7506
2940,8306
3249,7755
3748,7659
4160,7999
3841,7645
3487,7994
3595,7790
3415,8298
3842,8481
2555,8794
2785,8551
2548,8891
2613,8667
3134,7600
3621,8428
3319,7515
3230,8773
3020,7504
3156,8957
3028,8782
2784,8334
4077,7590
2978,9004
3222,8543
3661,8979
2512,8519
3270,8754
3859,8484
3158,8330
3202,8769
2615,8343
3639,8742
2809,8663
3103,9037
3275,8608
3889,7932
4123,8519
3045,8643
3290,7780
2650,8928
3141,8894
3844,7907
3593,8502
4042,8581
3623,8748
3151,9009
3111,8856
3649,8767
3754,8333
3044,9055
3701,8110
2752,8198
3109,8887
3872,8778
2983,8284
2527,8889
4228,8309
3159,8763
3597,8524
2800,8692
3879,8713
3770,7665
3075,9032
3089,7607
3907,8139
2997,8767
2573,8600
2539,8238
3627,8444
3465,7913
3821,7888
3021,8411
3350,8233
3079,9044
4068,7883
2901,8924
3114,8137
3157,8936
2959,8522
3245,8570
3299,8687
3098,8549
4052,7711
2547,8860
3528,7884
3167,8998
2770,8525
3913,8091
2885,8899
3565,8896
3026,9036
3938,8524
2881,8035
3999,8536
3573,8344
2954,7523
3292,8237
3397,8965
3847,8108
3866,7590
3013,8479
3279,8738
2708,8917
3854,7569
3127,8900
4114,7756
3589,8757
3039,8087
3677,8057
2567,8223
3617,8285
